,NCT_ID,Title,Drugs
0,NCT03178851,A Phase Ib Study Evaluating Cobimetinib Plus Atezolizumab in Patients With Advanced BRAF V600 Wild-Type Melanoma Who Have Progressed During or After Treatment With Anti-PD-1 Therapy and Atezolizumab Monotherapy in Patients With Previously Untreated Advanced BRAF V600 Wild-Type Melanoma,"['Atezolizumab', 'Cobimetinib', 'Atezolizumab', 'Atezolizumab']"
1,NCT03340558,A Pilot Study Investigating the Effect of Atezolizumab Monotherapy and Atezolizumab Plus Cobimetinib on the Tumoral Immunoprofile in Liver Metastases From Colorectal Cancer,"['Atezolizumab', 'Cobimetinib']"
2,NCT03946358,A Phase II Study Evaluating the Interest to Combine UCPVax a CD4 TH1-inducer Cancer Vaccine and Atezolizumab for the Treatment of Human PapillomaVirus Positive Cancers,"['Blood sample collection', 'Atezolizumab', 'UCPVax']"
3,NCT03802604,Combination of Talimogene Laherparepvec With Atezolizumab in Patients With Residual Breast Cancer After Standard Neoadjuvant Multi-agent Chemotherapy (PROMETEO TRIAL),"['Talimogene laherparepvec', 'Atezolizumab']"
4,NCT03073525,"A Randomized, Intra-patient Crossover, Safety, Biomarker and Anti-Tumor Activity Assessment of the Combination of Atezolizumab and Vigil in Patients With Advanced Gynecological Cancers","['Vigil', 'Atezolizumab']"
5,NCT05694013,Interventional Platform Study Investigating the Impact of Digital Health Solutions on Health Outcomes and Health-Care Resource Utilization in Participants Receiving Systemic Treatment in Clinical Practice,['Atezolizumab SC']
6,NCT03281369,"A Phase Ib/II, Open-Label, Multicenter, Randomized, Umbrella Study Evaluating the Efficacy and Safety of Multiple Immunotherapy-Based Treatment Combinations in Patients With Locally Advanced Unresectable or Metastatic Gastric or Gastroesophageal Junction Cancer or Esophageal Cancer (Morpheus-Gastric and Esophageal Cancer)","['5-Fluorouracil (5-FU)', 'Leucovorin', 'Oxaliplatin', 'Atezolizumab', 'Cobimetinib', 'Ramucirumab', 'Paclitaxel', 'PEGylated recombinant human hyaluronidase (PEGPH20)', 'BL-8040', 'Linagliptin', 'Atezolizumab', 'Cobimetinib', 'Cisplatin', 'Tiragolumab', '5-Fluorouracil (5-FU)']"
7,NCT02715531,"An Open-Label, Multicenter Phase Ib Study of The Safety and Efficacy of Atezolizumab (Anti-PD-L1 Antibody) Administered in Combination With Bevacizumab and/or Other Treatments in Patients With Solid Tumors","['5-FU', 'Atezolizumab', 'Bevacizumab', 'Gemcitabine', 'Leucovorin', 'Nab-Paclitaxel', 'Oxaliplatin', 'Capecitabine', 'Cisplatin']"
8,NCT03622593,"A Phase III, Multicenter, Randomized, Double-Masked, Active Comparator-Controlled Study to Evaluate the Efficacy and Safety of Faricimab (RO6867461) in Patients With Diabetic Macular Edema (RHINE)","['Aflibercept', 'Faricimab']"
9,NCT03622580,"A Phase III, Multicenter, Randomized, Double-Masked, Active Comparator-Controlled Study to Evaluate the Efficacy and Safety of Faricimab (RO6867461) in Patients With Diabetic Macular Edema (YOSEMITE)","['Aflibercept', 'Faricimab']"
10,NCT04341181,ProTarget - A Danish Nationwide Clinical Trial on Targeted Cancer Treatment Based on Genomic Profiling,"['Alectinib', 'Atezolizumab', 'Avelumab', 'Axitinib', 'Erlotinib', 'Vemurafenib plus Cobimetinib (combination)', 'Trastuzumab plus Pertuzumab (combination)', 'Trastuzumab emtansine', 'Vismodegib', 'Niraparib']"
11,NCT05722886,"DETERMINE (Determining Extended Therapeutic Indications for Existing Drugs in Rare Molecularly Defined Indications Using a National Evaluation Platform Trial): An Umbrella-Basket Platform Trial to Evaluate the Efficacy of Targeted Therapies in Rare Adult, Paediatric and Teenage/Young Adult (TYA) Cancers With Actionable Genomic Alterations, Including Common Cancers With Rare Actionable Alterations","['Alectinib', 'Atezolizumab', 'Entrectinib', 'Trastuzumab in combination with pertuzumab', 'Vemurafenib in combination with cobimetinib']"
12,NCT02013219,A Phase 1b Study of the Safety and Pharmacology of Atezolizumab (Anti-PD-L1 Antibody) Administered With Erlotinib or Alectinib in Patients With Advanced Non-Small Cell Lung Cancer,"['Alectinib', 'Atezolizumab', 'Erlotinib']"
13,NCT05525858,KOrean Precision Medicine Networking Group Study of MOlecular Profiling Guided Therapy Based on Genomic Alterations in Advanced Solid Tumors II,"['Alectinib', 'Atezolizumab', 'Erlotinib', 'Trastuzumab + Pertuzumab', 'Trastuzumab emtansine', 'Vemurafenib', 'Bevacizumab + Erlotinib', 'Entrectinib']"
14,NCT03178552,A Phase II/III Multicenter Study Evaluating the Efficacy and Safety of Multiple Targeted Therapies as Treatments for Patients With Advanced or Metastatic Non-Small Cell Lung Cancer (NSCLC) Harboring Actionable Somatic Mutations Detected in Blood (B-FAST: Blood-First Assay Screening Trial),"['Alectinib', 'Atezolizumab', 'Pemetrexed', 'Cisplatin', 'Carboplatin', 'Gemcitabine', 'Entrectinib', 'Cobimetinib', 'Vemurafenib', 'Bevacizumab', 'GDC-6036', 'Docetaxel']"
15,NCT04302025,"NAUTIKA1: Multicenter, Phase II, Neoadjuvant and Adjuvant Study of Multiple Therapies in Biomarker-Selected Patients With Resectable Stages IB-III Non-Small Cell Lung Cancer","['Alectinib', 'Entrectinib', 'Vemurafenib', 'Cobimetinib', 'Pralsetinib', 'Atezolizumab', 'SBRT', 'Chemotherapy']"
16,NCT03498521,"A Phase II, Randomized, Active-Controlled, Multi-Center Study Comparing the Efficacy and Safety of Targeted Therapy or Cancer Immunotherapy Guided by Genomic Profiling Versus Platinum-Based Chemotherapy in Patients With Cancer of Unknown Primary Site Who Have Received Three Cycles of Platinum Doublet Chemotherapy","['Alectinib', 'Vismodegib', 'Ipatasertib', 'Olaparib', 'Erlotinib', 'Bevacizumab', 'Vemurafenib', 'Cobimetinib', 'Trastuzumab Subcutaneous (SC)', 'Pertuzumab', 'Atezolizumab', 'Carboplatin', 'Paclitaxel', 'Cisplatin', 'Gemcitabine', 'Entrectinib', 'Ivosidenib', 'Pemigatinib']"
17,NCT03767075,"Basket of Baskets: A Modular, Open-label, Phase II, Multicentre Study To Evaluate Targeted Agents in Molecularly Selected Populations With Advanced Solid Tumours",['Arm 1 - atezolizumab']
18,NCT03686332,PERICLES (PEnile Cancer Radio- and Immunotherapy CLinical Exploration Study)-a Phase 2 Study of Atezolizumab With or Without Radiotherapy in Penile Cancer,"['Arm A: Atezolizumab and Radiotherapy', 'Arm B: Atezolizumab']"
19,NCT03915678,Atezolizumab Combined With BDB001 AnD Immunogenic Radiotherapy in Patients With Advanced Solid Tumors,"['Association atezolizumab + BDB001 + RT', 'Association atezolizumab + BDB001+ RT', 'Association atezolizumab + BDB001+ RT', 'Association atezolizumab + BDB001 + RT', 'Association atezolizumab + BDB001 + RT', 'Association atezolizumab + BDB001 + RT']"
20,NCT03148418,"An Open-Label, Multicenter Extension and Long-Term Observational Study in Patients Previously Enrolled in a Genentech- and/or F. Hoffmann-La Roche Ltd-Sponsored Atezolizumab Study",['Atezolizumab']
21,NCT05112965,"An Open-Label, Multicenter Extension Study in Participants Previously Enrolled in a Genentech and/or F. Hoffmann-La Roche Ltd Sponsored Atezolizumab Study (IMbrella C)",['Atezolizumab']
22,NCT03768063,"An Open Label, Multicenter Extension Study in Patients Previously Enrolled in a Genentech and/or F. Hoffmann-La Roche Ltd Sponsored Atezolizumab Study (IMbrella B)",['Atezolizumab']
23,NCT05171777,"A Randomized, Multicenter, Open-Label Cross-Over Study to Evaluate Participant and Healthcare Professional Reported Preference for Subcutaneous Atezolizumab Compared With Intravenous Atezolizumab Formulation in Participants With Non-Small Cell Lung Cancer",['Atezolizumab']
24,NCT03782207,"A Non-Interventional, Multicenter, Multiple Cohort Study Investigating the Outcomes and Safety of Atezolizumab Under Real-World Conditions in Patients Treated in Routine Clinical Practice",['Atezolizumab']
25,NCT03330886,An Observational Study of the Safety of Atezolizumab in Patients With Advanced or Metastatic Urothelial Carcinoma in Argentina,['Atezolizumab']
26,NCT03922997,"An Open-Label, Singe Arm, Multicenter Study to Investigate the Safety and Efficacy of Atezolizumab (Tecentriq) in Previously-Treated Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer",['Atezolizumab']
